motif,version,variant,file,notes_per_16,pitch_range,mean_interval,repeat_score
leap,before,1,outputs/leap_before_1.mid,8.0,7,3.43,0.14
leap,before,2,outputs/leap_before_2.mid,8.0,7,3.14,0.14
leap,before,3,outputs/leap_before_3.mid,8.0,12,3.71,0.0
leap,after,1,outputs/leap_after_1.mid,8.0,4,2.0,0.43
leap,after,2,outputs/leap_after_2.mid,8.0,5,2.0,0.29
leap,after,3,outputs/leap_after_3.mid,8.0,7,1.86,0.14
scale,before,1,outputs/scale_before_1.mid,8.0,8,3.14,0.0
scale,before,2,outputs/scale_before_2.mid,8.0,5,2.86,0.29
scale,before,3,outputs/scale_before_3.mid,8.0,9,3.71,0.0
scale,after,1,outputs/scale_after_1.mid,8.0,4,2.29,0.43
scale,after,2,outputs/scale_after_2.mid,8.0,5,2.0,0.29
scale,after,3,outputs/scale_after_3.mid,8.0,3,1.57,0.43
stepwise,before,1,outputs/stepwise_before_1.mid,8.0,5,2.71,0.29
stepwise,before,2,outputs/stepwise_before_2.mid,8.0,7,2.71,0.14
stepwise,before,3,outputs/stepwise_before_3.mid,8.0,5,2.71,0.14
stepwise,after,1,outputs/stepwise_after_1.mid,8.0,5,1.86,0.43
stepwise,after,2,outputs/stepwise_after_2.mid,8.0,7,2.14,0.29
stepwise,after,3,outputs/stepwise_after_3.mid,8.0,6,2.14,0.14
